time,F11,F12,F13,F21,F22,F23,F31,F32,F33,s11,s12,s13,s21,s22,s23,s31,s32,s33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,1.01,0,4.336808689942e-19,6.7762635780344e-20,0.99811972761498,4.8111471404044e-19,-2.8799120206646e-19,-3.6930636500287e-19,0.99811972761498,1614.4038224299,4.5768755788161e-15,1.0188935038917e-14,4.6313525388884e-15,2.4113028543773e-12,7.4630150296948e-15,9.6087554141473e-15,7.4630150296948e-15,2.4396711232523e-12
